Alterac Pass
49.9%	Tank	Bruiser	Healer	Ranged 	Melee 
47.9%	Tank	Healer	Support	Ranged 	Melee 
46.8%	Tank	Bruiser	Bruiser	Healer	Ranged 
46.7%	Bruiser	Healer	Ranged 	Ranged 	Ranged 
46.4%	Tank	Bruiser	Healer	Support	Ranged 
46.3%	Bruiser	Healer	Ranged 	Ranged 	Melee 
46.2%	Tank	Tank	Healer	Ranged 	Ranged 
45.9%	Tank	Healer	Support	Ranged 	Ranged 
45.7%	Tank	Healer	Ranged 	Melee 	Melee 
45.3%	Tank	Healer	Ranged 	Ranged 	Ranged 
44.3%	Tank	Healer	Healer	Ranged 	Ranged 
41.9%	Tank	Bruiser	Healer	Healer	Ranged 

Infernal Shrines
53.6%	Tank	Bruiser	Bruiser	Healer	Ranged 
53.0%	Bruiser	Bruiser	Healer	Ranged 	Melee 
52.3%	Bruiser	Bruiser	Healer	Ranged 	Ranged 
50.5%	Tank	Bruiser	Healer	Ranged 	Ranged 
50.1%	Tank	Bruiser	Healer	Ranged 	Melee 
50.0%	Bruiser	Healer	Ranged 	Ranged 	Ranged 
49.3%	Bruiser	Healer	Ranged 	Ranged 	Melee 
49.2%	Tank	Healer	Ranged 	Ranged 	Melee 
49.0%	Tank	Healer	Support	Ranged 	Melee 
48.7%	Tank	Healer	Ranged 	Melee 	Melee 
48.4%	Tank	Tank	Healer	Ranged 	Ranged 
48.3%	Tank	Healer	Ranged 	Ranged 	Ranged 
46.0%	Tank	Bruiser	Healer	Support	Ranged 
45.9%	Tank	Tank	Healer	Ranged 	Melee 
45.0%	Tank	Bruiser	Healer	Healer	Ranged 
44.5%	Tank	Healer	Healer	Ranged 	Ranged 
44.4%	Tank	Healer	Support	Ranged 	Ranged 

Sky Temple
55.5%	Bruiser	Bruiser	Healer	Ranged 	Melee 
53.4%	Tank	Bruiser	Bruiser	Healer	Ranged 
51.9%	Tank	Bruiser	Healer	Ranged 	Melee 
51.7%	Bruiser	Bruiser	Healer	Ranged 	Ranged 
51.1%	Bruiser	Healer	Support	Ranged 	Ranged 
51.0%	Tank	Tank	Healer	Ranged 	Ranged 
50.5%	Tank	Bruiser	Healer	Ranged 	Ranged 
50.0%	Tank	Healer	Ranged 	Melee 	Melee 
49.9%	Tank	Healer	Ranged 	Ranged 	Melee 
48.7%	Bruiser	Healer	Ranged 	Ranged 	Melee 
48.3%	Tank	Bruiser	Healer	Support	Ranged 
